Device ID,Time,Rainfall
11271,5/06/2020 12:00,3
10451,5/06/2020 12:00,0
25832,5/06/2020 12:00,0
46759,5/06/2020 12:00,25
70060,5/06/2020 12:00,25
96034,5/06/2020 12:00,25
10506,5/06/2020 12:00,14
10451,5/06/2020 12:30,0
25832,5/06/2020 12:30,10
46759,5/06/2020 12:30,20
70060,5/06/2020 12:30,20
96034,5/06/2020 12:30,25
10506,5/06/2020 12:30,12
11271,5/06/2020 13:00,2
10451,5/06/2020 13:00,0
25832,5/06/2020 13:00,10
46759,5/06/2020 13:00,20
70060,5/06/2020 13:00,15
96034,5/06/2020 13:00,24
10506,5/06/2020 13:00,10
10451,5/06/2020 13:30,0
25832,5/06/2020 13:30,30
46759,5/06/2020 13:30,10
70060,5/06/2020 13:30,10
96034,5/06/2020 13:30,26
10506,5/06/2020 13:30,10
11271,5/06/2020 14:00,1
10451,5/06/2020 14:00,0
25832,5/06/2020 14:00,0
46759,5/06/2020 14:00,0
70060,5/06/2020 14:00,0
96034,5/06/2020 14:00,28
10506,5/06/2020 14:00,6
